,Release Date,Season,Episode,Episode Title,Name,Sentence,Emotion Label
582,2011-04-24,Season 1,Episode 2,The Kingsroad,eddard stark,Stop it! That's enough of that.,anger
583,2011-04-24,Season 1,Episode 2,The Kingsroad,arya stark,Liar liar liar!,anger
584,2011-04-24,Season 1,Episode 2,The Kingsroad,eddard stark,Stop! Arya!,anger
585,2011-04-24,Season 1,Episode 2,The Kingsroad,cersei lannister,She's as wild as that animal of hers. I want her punished.,anger
586,2011-04-24,Season 1,Episode 2,The Kingsroad,robert baratheon,"What would you have me do, whip her through the streets? Damn it, children fight. It's over.",anger
587,2011-04-24,Season 1,Episode 2,The Kingsroad,cersei lannister,Joffrey will bear these scars for the rest of his life.,sadness
588,2011-04-24,Season 1,Episode 2,The Kingsroad,robert baratheon,You let that little girl disarm you? See to it that your daughter is disciplined. I'll do the same with my son.,anger
589,2011-04-24,Season 1,Episode 2,The Kingsroad,eddard stark,"Gladly, your Grace.",joy
590,2011-04-24,Season 1,Episode 2,The Kingsroad,cersei lannister,And what of the direwolf? What of the beast that savaged your son?,disgust
591,2011-04-24,Season 1,Episode 2,The Kingsroad,robert baratheon,I'd forgot the damned wolf.,disgust
592,2011-04-24,Season 1,Episode 2,The Kingsroad,soldier,"We found no trace of the direwolf, your Grace.",neutral
593,2011-04-24,Season 1,Episode 2,The Kingsroad,robert baratheon,So be it.,neutral
594,2011-04-24,Season 1,Episode 2,The Kingsroad,cersei lannister,We have another wolf.,neutral
595,2011-04-24,Season 1,Episode 2,The Kingsroad,robert baratheon,As you will.,neutral
596,2011-04-24,Season 1,Episode 2,The Kingsroad,eddard stark,You can't mean it.,anger
597,2011-04-24,Season 1,Episode 2,The Kingsroad,robert baratheon,A direwolf's no pet. Get her a dog. She'll be happier for it.,neutral
598,2011-04-24,Season 1,Episode 2,The Kingsroad,sansa stark,"He doesn't mean Lady, does he? No no, not Lady! Lady didn't bite anyone! She's good!",anger
599,2011-04-24,Season 1,Episode 2,The Kingsroad,arya stark,Lady wasn't there! You leave her alone!,anger
600,2011-04-24,Season 1,Episode 2,The Kingsroad,sansa stark,Stop them. Don't let them do it. Please! It wasn't Lady!,anger
601,2011-04-24,Season 1,Episode 2,The Kingsroad,eddard stark,s this your command... your Grace?,surprise
602,2011-04-24,Season 1,Episode 2,The Kingsroad,cersei lannister,Where is the beast?,neutral
603,2011-04-24,Season 1,Episode 2,The Kingsroad,soldier,"Chained up outside, your Grace.",neutral
604,2011-04-24,Season 1,Episode 2,The Kingsroad,cersei lannister,"Ser Ilyn, do me the honor.",neutral
605,2011-04-24,Season 1,Episode 2,The Kingsroad,eddard stark,"No. Jory... Take the girls to their rooms. If it must be done, then I'll do it myself.",neutral
606,2011-04-24,Season 1,Episode 2,The Kingsroad,cersei lannister,Is this some trick?,neutral
607,2011-04-24,Season 1,Episode 2,The Kingsroad,eddard stark,The wolf is of the north. She deserves better than a butcher.,disgust
608,2011-04-24,Season 1,Episode 2,The Kingsroad,eddard stark,The butcher's boy... You rode him down?,disgust
609,2011-04-24,Season 1,Episode 2,The Kingsroad,sandor clegane,He ran... Not very fast.,neutral
610,2011-05-01,Season 1,Episode 3,Lord Snow,kings landing guard,"Welcome, Lord Stark. Grand Maester Pycelle has called a meeting of the Small Council. The honor of your presence is requested.",neutral
611,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,"Get the girls settled in. I'll be back in time for supper. And, Jory, you go with them.",neutral
612,2011-05-01,Season 1,Episode 3,Lord Snow,jory cassel,"Yes, my Lord.",disgust
613,2011-05-01,Season 1,Episode 3,Lord Snow,kings landing guard,If you'd like to change into something more appropriate…,neutral
614,2011-05-01,Season 1,Episode 3,Lord Snow,jaime lannister,"Thank the gods you're here, Stark. About time we had some stern northern leadership.",neutral
615,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,Glad to see you're protecting the throne.,joy
616,2011-05-01,Season 1,Episode 3,Lord Snow,jaime lannister,"Sturdy old thing. How many kings' asses have polished it, I wonder? What's the line? The King shits and the Hand wipes.",surprise
617,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,Very handsome armor. Not a scratch on it.,neutral
618,2011-05-01,Season 1,Episode 3,Lord Snow,jaime lannister,"I know. People have been swinging at me for years, but they always seem to miss.",sadness
619,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,You've chosen your opponents wisely then.,neutral
620,2011-05-01,Season 1,Episode 3,Lord Snow,jaime lannister,"I have a knack for it. It must be strange for you coming into this room. I was standing right here when it happened. He was very brave, your brother. Your father too. They didn't deserve to die like that. Nobody deserves to die like that.",surprise
621,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,But you just stood there and watched.,neutral
622,2011-05-01,Season 1,Episode 3,Lord Snow,jaime lannister,"500 men just stood there and watched. All the great knights of the Seven Kingdoms. You think anyone said a word, lifted a finger? No, Lord Stark. 500 men and this room was silent as a crypt. Except for the screams, of course, and the Mad King laughing. And later... When I watched the Mad King die, I remembered him laughing as your father burned... It felt like justice.",neutral
623,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,Is that what you tell yourself at night? You're a servant of justice? That you were avenging my father when you shoved your sword in Aerys Targaryen's back?,anger
624,2011-05-01,Season 1,Episode 3,Lord Snow,jaime lannister,"Tell me... If I'd stabbed the Mad King in the belly instead of the back, would you admire me more?",neutral
625,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,"You served him well, when serving was safe.",neutral
626,2011-05-01,Season 1,Episode 3,Lord Snow,varys,Lord Stark.,neutral
627,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,Lord Varys.,neutral
628,2011-05-01,Season 1,Episode 3,Lord Snow,varys,I was grievously sorry to hear of your troubles on the Kingsroad. We are all praying for Prince Joffrey's full recovery.,sadness
629,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,A shame you didn't say a prayer for the butcher's son. Renly! You're looking well.,disgust
630,2011-05-01,Season 1,Episode 3,Lord Snow,renly baratheon,"And you look tired from the road. I told them this meeting could wait another day, but...",sadness
631,2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"But we have a Kingdom to look after. I've hoped to meet you for some time, Lord Stark. No doubt Lady Catelyn has mentioned me.",neutral
632,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,"She has, Lord Baelish. I understand you knew my brother Brandon as well.",neutral
633,2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,All too well. I still carry a token of his esteem from navel to collarbone.,neutral
634,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,Perhaps you chose the wrong man to duel with.,anger
635,2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"It wasn't the man that I chose, my Lord. It was Catelyn Tully. A woman worth fighting for, I'm sure you'll agree.",neutral
636,2011-05-01,Season 1,Episode 3,Lord Snow,grand maester pycelle,"I humbly beg your pardon, my Lord Stark.",joy
637,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,Grand Maester.,disgust
638,2011-05-01,Season 1,Episode 3,Lord Snow,grand maester pycelle,How many years has it been? You were a young man.,neutral
639,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,And you served another King.,neutral
640,2011-05-01,Season 1,Episode 3,Lord Snow,grand maester pycelle,"How forgetful of me. This belongs to you, now. Should we begin?",fear
641,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,Without the King?,surprise
642,2011-05-01,Season 1,Episode 3,Lord Snow,renly baratheon,"Winter may be coming, but I'm afraid the same cannot be said for my brother.",fear
643,2011-05-01,Season 1,Episode 3,Lord Snow,varys,His Grace has many cares. He entrusts some small matters to us that we might lighten the load.,neutral
644,2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,We are the lords of small matters here.,neutral
645,2011-05-01,Season 1,Episode 3,Lord Snow,renly baratheon,My brother instructs us to stage a tournament in honor of Lord Stark's appointment as Hand of the King.,neutral
646,2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"Mmm, how much?",surprise
647,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,"40,000 gold dragons to the champion, 20,000 to the runner-up, 20,000 to the winning archer.",joy
648,2011-05-01,Season 1,Episode 3,Lord Snow,grand maester pycelle,Can the treasury bear such expense?,neutral
649,2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"I'll have to borrow it. The Lannisters will accommodate, I expect. We already owe Lord Tywin 3 million gold. What's another 80,000?",neutral
650,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,Are you telling me the Crown is three million in debt?,surprise
651,2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,I'm telling you the Crown is six million in debt.,sadness
652,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,How could you let this happen?,anger
653,2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,The Master of Coin finds the money. The King and the Hand spend it.,neutral
654,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,I will not believe Jon Arryn allowed Robert to bankrupt the realm.,surprise
655,2011-05-01,Season 1,Episode 3,Lord Snow,grand maester pycelle,"Lord Arryn gave wise and prudent advice, but I fear His Grace doesn't always listen.",fear
656,2011-05-01,Season 1,Episode 3,Lord Snow,renly baratheon,"Counting coppers,"" he calls it.",neutral
657,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,I'll speak to him tomorrow. This tournament is an extravagance we cannot afford.,disgust
658,2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"As you will. But still, we'd best make our plans.",neutral
659,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,"There will be no plans until I speak to Robert. Forgive me, my Lords. I had a long ride.",neutral
660,2011-05-01,Season 1,Episode 3,Lord Snow,varys,"You are the King's Hand, Lord Stark, we serve at your pleasure.",neutral
661,2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,"Please, it's nearly healed.",neutral
662,2011-05-01,Season 1,Episode 3,Lord Snow,joffrey lannister,It's ugly.,disgust
663,2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,"A King should have scars, you fought off a direwolf. You're a warrior like your father.",neutral
664,2011-05-01,Season 1,Episode 3,Lord Snow,joffrey lannister,"I'm not like him. I didn't fight off anything. It bit me and all I did was scream. And the two Stark girls saw it, both of them.",anger
665,2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,"That's not true. You killed the beast. You only spared the girl because of the love your father bears her father. When Aerys Targaryen sat on the Iron Throne, your father was a rebel and a traitor. Someday you'll sit on the throne and the truth will be what you make it.",anger
666,2011-05-01,Season 1,Episode 3,Lord Snow,joffrey lannister,Do I have to marry her?,sadness
667,2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,"Yes. She's very beautiful and young. If you don't like her, you only need to see her on formal occasions and when the time comes, to make little princes and princesses. And if you'd rather fuck painted whores, you'll fuck painted whores. And if you'd rather lie with noble virgins, so be it. You are my darling boy and the world will be exactly as you want it to be. Do something nice for the Stark girl.",disgust
668,2011-05-01,Season 1,Episode 3,Lord Snow,joffrey lannister,I don't want to.,sadness
669,2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,"No, but you will. The occasional kindness will spare you all sorts of trouble down the road.",neutral
670,2011-05-01,Season 1,Episode 3,Lord Snow,joffrey lannister,We allow the northerners too much power. They consider themselves our equals.,neutral
671,2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,How would you handle them?,neutral
672,2011-05-01,Season 1,Episode 3,Lord Snow,joffrey lannister,"I'd double their taxes and command them to supply 10,000 men to the royal army.",neutral
673,2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,A royal army?,surprise
674,2011-05-01,Season 1,Episode 3,Lord Snow,joffrey lannister,"Why should every lord command his own men? It's primitive, no better than the hill tribes. We should have a standing army of men loyal to the Crown, trained by experienced soldiers... Instead of a mob of peasants who've never held pikes in their lives.",disgust
675,2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,And if the northerners rebel?,neutral
676,2011-05-01,Season 1,Episode 3,Lord Snow,joffrey lannister,"I'd crush them. Seize Winterfell and install someone loyal to the realm as Warden of the North. Uncle Kevan, maybe.",anger
677,2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,"And these 10,000 northern troops, would they fight for you or their lord?",neutral
678,2011-05-01,Season 1,Episode 3,Lord Snow,joffrey lannister,For me. I'm their King.,neutral
679,2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,"But you've just invaded their homeland, asked them to kill their brothers.",anger
680,2011-05-01,Season 1,Episode 3,Lord Snow,joffrey lannister,I'm not asking.,neutral
681,2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,"The North cannot be held... not by an outsider. It's too big and too wild. When the winter comes, the Seven gods together couldn't save you and your royal army. A good King knows when to save his strength... And when to destroy his enemies.",fear
682,2011-05-01,Season 1,Episode 3,Lord Snow,joffrey lannister,So you agree... The Starks are enemies?,neutral
683,2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,Everyone who isn't us is an enemy.,anger
684,2011-05-01,Season 1,Episode 3,Lord Snow,septa mordane,"Enough of that, young lady. Eat your food.",anger
685,2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,I'm practicing.,joy
686,2011-05-01,Season 1,Episode 3,Lord Snow,sansa stark,Practicing for what?,surprise
687,2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,The Prince.,disgust
688,2011-05-01,Season 1,Episode 3,Lord Snow,septa mordane,"Arya, stop!",anger
689,2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,He's a liar and a coward and he killed my friend.,anger
690,2011-05-01,Season 1,Episode 3,Lord Snow,sansa stark,The Hound killed your friend.,anger
691,2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,The Hound does whatever the Prince tells him to do.,disgust
692,2011-05-01,Season 1,Episode 3,Lord Snow,sansa stark,You're an idiot.,anger
693,2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,"You're a liar. And if you told the truth, Mycah would be alive.",anger
694,2011-05-01,Season 1,Episode 3,Lord Snow,septa mordane,Enough!,surprise
695,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,What's happening here?,surprise
696,2011-05-01,Season 1,Episode 3,Lord Snow,septa mordane,Arya would rather act like a beast than a lady.,disgust
697,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,"Go to your room. We'll speak later. That's for you, love…",neutral
698,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,The same dollmaker makes all of Princess Myrcella's toys. Don't you like it?,surprise
699,2011-05-01,Season 1,Episode 3,Lord Snow,sansa stark,I haven't played with dolls since I was eight. May I be excused?,disgust
700,2011-05-01,Season 1,Episode 3,Lord Snow,septa mordane,You've barely eaten a thing.,surprise
701,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,It's all right. Go on.,neutral
702,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,War was easier than daughters.,neutral
703,2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,Go away!,anger
704,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,"Arya, open the door. May I come in? Whose sword is that?",surprise
705,2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,Mine.,neutral
706,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,Give it to me. I know this maker's mark. This is Mikken's work. Where did you get this? This is no toy. Little ladies shouldn't play with swords.,neutral
707,2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,I wasn't playing. And I don't want to be a lady.,sadness
708,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,Come here. Now what do you want with this?,anger
709,2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,It's called Needle.,neutral
710,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,A blade with a name. And who were you hoping to skewer with Needle? Your sister? Do you know the first thing about sword fighting?,neutral
711,2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,Stick 'em with the pointy end.,neutral
712,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,laughs] That's the essence of it.,neutral
713,2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,I was trying to learn. I asked Mycah to practice with me. I asked him. It was my fault.,anger
714,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,"No, sweet girl. You didn't kill the butcher's boy.",anger
715,2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,"I hate them! I hate all of them. The Hound, the Queen and the King and Joffrey and Sansa.",disgust
716,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,Sansa was dragged before the King and Queen... And asked to call the Prince a liar.,anger
717,2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,So was I! He is a liar.,anger
718,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,"Darling, listen to me. Sansa will be married to Joffrey someday. She cannot betray him. She must take his side even when he's wrong.",anger
719,2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,But how you can let her marry someone like that?,surprise
720,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,Well… Look at me. You're a Stark of Winterfell. You know our words.,disgust
721,2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,Winter is coming.,neutral
722,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,"You were born in the long summer. You've never known anything else. But now winter is truly coming. And in the winter, we must protect ourselves, look after one another. Sansa is your sister.",fear
723,2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,I don't hate her. Not really.,anger
724,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,"I don't want to frighten you, but I won't lie to you either. We've come to a dangerous place. We cannot fight a war amongst ourselves. All right? Go on. It's yours.",fear
725,2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,I can keep it?,neutral
726,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,"Try not to stab your sister with it. If you're going to own a sword, you'd better know how to use it.",anger
727,2011-05-01,Season 1,Episode 3,Lord Snow,old nan,Don't listen to it. Crows are all liars. I know a story about a crow.,anger
728,2011-05-01,Season 1,Episode 3,Lord Snow,bran stark,I hate your stories.,disgust
729,2011-05-01,Season 1,Episode 3,Lord Snow,old nan,I know a story about a boy who hated stories. I could tell you about Ser Duncan the Tall. Those were always your favorites.,disgust
730,2011-05-01,Season 1,Episode 3,Lord Snow,bran stark,Those weren't my favorites. My favorites were the scary ones.,fear
731,2011-05-01,Season 1,Episode 3,Lord Snow,old nan,"Oh, my sweet summer child. What do you know about fear? Fear is for the winter, when the snows fall a hundred feet deep. Fear is for the long night, when the sun hides for years and children are born and live and die all in darkness. That is the time for fear, my little Lord, when the White Walkers move through the woods. Thousands of years ago there came a night that lasted a generation. Kings froze to death in their castles, same as the shepherds in their huts. And women smothered their babies rather than see them starve, and wept and felt the tears freeze on their cheeks. So is this the sort of story that you like? In that darkness, the White Walkers came for the first time. They swept through cities and kingdoms, riding their dead horses, hunting with their packs of pale spiders big as hounds…",fear
732,2011-05-01,Season 1,Episode 3,Lord Snow,robb stark,What are you telling him now?,anger
733,2011-05-01,Season 1,Episode 3,Lord Snow,old nan,Only what the little Lord wants to hear.,neutral
734,2011-05-01,Season 1,Episode 3,Lord Snow,robb stark,Get your supper. I want some time with him. One time she told me the sky is blue because we live inside the eye of a blue-eyed giant named Macumber.,neutral
735,2011-05-01,Season 1,Episode 3,Lord Snow,bran stark,Maybe we do.,neutral
736,2011-05-01,Season 1,Episode 3,Lord Snow,robb stark,"How do you feel? You still don't remember anything? I've seen you climb a thousand times. In the wind, in the rain... A thousand times. You never fall.",surprise
737,2011-05-01,Season 1,Episode 3,Lord Snow,bran stark,"I did though. It's true, isn't it... what Maester Luwin says about my legs? I'd rather be dead.",neutral
738,2011-05-01,Season 1,Episode 3,Lord Snow,robb stark,Don't ever say that.,anger
739,2011-05-01,Season 1,Episode 3,Lord Snow,bran stark,I'd rather be dead.,sadness
740,2011-05-01,Season 1,Episode 3,Lord Snow,rodrick cassel,"Fewer eyes back here, my Lady. But still too many.",neutral
741,2011-05-01,Season 1,Episode 3,Lord Snow,catelyn stark,It's nine years since I've set foot in the capital. And no one knew who I was the last time I came either.,neutral
742,2011-05-01,Season 1,Episode 3,Lord Snow,rodrick cassel,My Lady.,disgust
743,2011-05-01,Season 1,Episode 3,Lord Snow,guard,"Welcome to King's Landing, Lady Stark. Would you mind following us?",neutral
744,2011-05-01,Season 1,Episode 3,Lord Snow,catelyn stark,I would. We've done nothing wrong.,neutral
745,2011-05-01,Season 1,Episode 3,Lord Snow,guard,We've been instructed to escort you into the city.,neutral
746,2011-05-01,Season 1,Episode 3,Lord Snow,catelyn stark,"Instructed? I don't know who's providing your instructions, but...",neutral
747,2011-05-01,Season 1,Episode 3,Lord Snow,guard,"Follow me, Lady Stark.",neutral
748,2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,Cat! Go on. Go upstairs.,anger
749,2011-05-01,Season 1,Episode 3,Lord Snow,catelyn stark,You little worm! You take me for some back-alley Sally you can drag into a…,anger
750,2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,I meant no disrespect to you of all people.,anger
751,2011-05-01,Season 1,Episode 3,Lord Snow,catelyn stark,How dare you bring me here! Have you lost your mind?,anger
752,2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,No one will come looking for you here. Isn't that what like you wanted? I'm truly sorry... about the locale.,sadness
753,2011-05-01,Season 1,Episode 3,Lord Snow,catelyn stark,How did you know I was coming to King's Landing?,surprise
754,2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,A dear friend told me.,joy
755,2011-05-01,Season 1,Episode 3,Lord Snow,varys,Lady Stark.,neutral
756,2011-05-01,Season 1,Episode 3,Lord Snow,catelyn stark,Lord Varys.,neutral
757,2011-05-01,Season 1,Episode 3,Lord Snow,varys,To see you again after so many years is a blessing. Your poor hands.,sadness
758,2011-05-01,Season 1,Episode 3,Lord Snow,catelyn stark,How did you know I was coming?,surprise
759,2011-05-01,Season 1,Episode 3,Lord Snow,varys,"Knowledge is my trade, my Lady. Did you bring the dagger with you, by any chance? My little birds are everywhere. Even in the north. They whisper to me the strangest stories. Valyrian steel.",neutral
760,2011-05-01,Season 1,Episode 3,Lord Snow,catelyn stark,Do you know whose dagger this is?,surprise
761,2011-05-01,Season 1,Episode 3,Lord Snow,varys,I must admit I do not.,sadness
762,2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"Well well, this is an historic day. Something you don't know that I do. There's only one dagger like this in all of the Seven Kingdoms. It's mine.",neutral
763,2011-05-01,Season 1,Episode 3,Lord Snow,catelyn stark,Yours?,surprise
764,2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"At least it was, until the tournament on Prince Joffrey's last nameday. I bet on Ser Jaime in the jousting, as any sane man would. When the Knight of the Flowers unseated him, I lost this dagger.",neutral
765,2011-05-01,Season 1,Episode 3,Lord Snow,catelyn stark,To whom?,surprise
766,2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,Tyrion Lannister. The Imp.,disgust
767,2011-05-01,Season 1,Episode 3,Lord Snow,alliser thorne,"If that were a real sword, you'd be dead. Lord Snow here grew up in a castle spitting down on the likes of you. Pyp. Do you think Ned Stark's bastard bleeds like the rest of us?",disgust
768,2011-05-01,Season 1,Episode 3,Lord Snow,alliser thorne,Next!,neutral
769,2011-05-01,Season 1,Episode 3,Lord Snow,alliser thorne,"Lord Snow, it appears you're the least useless person here. Go clean yourselves up. There's only so much I can stomach in a day.",disgust
770,2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,A charming man.,joy
771,2011-05-01,Season 1,Episode 3,Lord Snow,jeor mormont,I don't need him to be charming. I need him to turn this bunch of thieves and runaways into men of the Night's Watch.,neutral
772,2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,"And how's that going, Commander Mormont?",neutral
773,2011-05-01,Season 1,Episode 3,Lord Snow,jeor mormont,Slowly. A raven came for Ned Stark's son.,neutral
774,2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,Good news or bad?,neutral
775,2011-05-01,Season 1,Episode 3,Lord Snow,jeor mormont,Both.,neutral
776,2011-05-01,Season 1,Episode 3,Lord Snow,grand maester pycelle,Lord Stark. I meant to give you this earlier. So forgetful these days. A raven from Winterfell this morning.,neutral
777,2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,Good news? Perhaps you'd like to share it with your wife?,joy
778,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,My wife is in Winterfell.,sadness
779,2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,Is she?,surprise
780,2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,I thought that she'd be safest in here. One of several such establishments I own.,neutral
781,2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,You're a funny man. A very funny man.,joy
782,2011-05-01,Season 1,Episode 3,Lord Snow,catelyn stark,Ned! [poking her head out of a window],disgust
783,2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"The Starks... Quick tempers, slow minds.",neutral
784,2011-05-01,Season 1,Episode 3,Lord Snow,grenn,"You broke my nose, bastard!",anger
785,2011-05-01,Season 1,Episode 3,Lord Snow,jon snow,It's an improvement.,neutral
786,2011-05-01,Season 1,Episode 3,Lord Snow,grenn,"If we threw you over the Wall, wonder how long it'd take you to hit.",surprise
787,2011-05-01,Season 1,Episode 3,Lord Snow,pyp,I wonder if they'd find you before the wolves did.,surprise
788,2011-05-01,Season 1,Episode 3,Lord Snow,grenn,"What're you looking at, halfman?",surprise
789,2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,I'm looking at you. You've got an interesting face. Very distinctive faces. All of you.,neutral
790,2011-05-01,Season 1,Episode 3,Lord Snow,rast,What do you care about our faces?,neutral
791,2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,"It's just I think they would look marvelous decorating spikes in King's Landing. Perhaps I'll write my sister, the Queen, about it.",neutral
792,2011-05-01,Season 1,Episode 3,Lord Snow,grenn,"We'll talk later, Lord Snow.",neutral
793,2011-05-01,Season 1,Episode 3,Lord Snow,jon snow,Everybody knew what this place was and no one told me. No one but you. My father knew and left me to rot here at the Wall all the same.,neutral
794,2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,Grenn's father left him too... Outside a farmhouse when he was three. Pyp was caught stealing a wheel of cheese. His little sister hadn't eaten in three days. He was given a choice,disgust
795,2011-05-01,Season 1,Episode 3,Lord Snow,jon snow,They hate me because I'm better than they are.,anger
796,2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,It's a lucky thing none of them were trained by a master-at-arms like your Ser Rodrik. I don't imagine any of them have ever held a real sword before they came here. Your brother Bran. He's woken up.,surprise
797,2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,The mere suggestion that the Queen's brother tried to kill your boy would be considered treason.,anger
798,2011-05-01,Season 1,Episode 3,Lord Snow,catelyn stark,We have proof. We have the blade.,neutral
799,2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"Which Lord Tyrion will say was stolen from him. The only man who could say otherwise has no throat, thanks to your boy's wolf.",neutral
800,2011-05-01,Season 1,Episode 3,Lord Snow,catelyn stark,Petyr has promised to help us find the truth. He's like a little brother to me. He would never betray my trust.,neutral
801,2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"I'll try to keep you alive, for her sake. A fool's task, admittedly, but I've never been able to refuse your wife anything.",anger
802,2011-05-01,Season 1,Episode 3,Lord Snow,catelyn stark,I won't forget this. You're a true friend.,neutral
803,2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,Don't tell anyone. I have a reputation to maintain.,neutral
804,2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,How could you be so stupid?,anger
805,2011-05-01,Season 1,Episode 3,Lord Snow,jaime lannister,Calm down.,neutral
